system:index,EXG,EXR,ExGR,GLI1,NGRDI,RI,VARI,b1,b2,b3,lat,lon,res_m,.geo
128,62.876133,-47.34267,110.2188,0.1508034,0.43092632,-0.43092632,2.08839,137.96104,129.90521,58.973244,-0.9194068070538591,-48.59292260693121,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59292260693121,-0.9194068070538591]}"
129,57.190712,-44.827938,102.018654,0.12862259,0.39785478,-0.39785478,1.9449205,149.00049,135.46652,64.74185,-0.9194067765678,-48.59287770736682,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59287770736682,-0.9194067765678]}"
130,53.19743,-36.47694,89.67437,0.11706299,0.34999558,-0.34999558,1.6824714,148.96477,136.97229,71.782394,-0.9194067460811739,-48.59283280780393,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59283280780393,-0.9194067460811739]}"
131,58.17384,-40.623314,98.79715,0.13091078,0.36897218,-0.36897218,1.5473509,142.35883,133.40134,66.27002,-0.9194067155939806,-48.592787908242514,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592787908242514,-0.9194067155939806]}"
132,61.395943,-41.357235,102.75318,0.15956916,0.39813972,-0.39813972,1.6569902,119.674965,117.85668,54.642464,-0.9194066851062195,-48.59274300868258,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59274300868258,-0.9194066851062195]}"
133,64.18132,-44.731598,108.91292,0.23456526,0.5095303,-0.5095303,1.8382549,81.23767,88.25277,31.086552,-0.9194066546178908,-48.59269810912414,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59269810912414,-0.9194066546178908]}"
134,67.17688,-33.071205,100.248085,0.2583745,0.41415706,-0.41415706,0.9208531,62.97685,82.85779,35.56184,-0.9194066241289954,-48.592653209567196,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.592653209567196,-0.9194066241289954]}"
135,66.150085,-36.1822,102.33229,0.12566015,0.32496157,-0.32496157,1.2938035,165.96721,160.43445,88.7516,-0.9194523081663762,-48.593371572376306,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593371572376306,-0.9194523081663762]}"
136,62.952656,-38.11749,101.070145,0.12565231,0.33866897,-0.33866897,1.4878875,159.36388,151.73648,81.15642,-0.919452277684492,-48.59332667279646,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59332667279646,-0.919452277684492]}"
137,62.015667,-36.6396,98.655266,0.12368893,0.33795586,-0.33795586,1.4747293,164.15858,155.55797,84.941696,-0.9194522472020398,-48.593281773218095,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.593281773218095,-0.9194522472020398]}"
138,67.12316,-43.870766,110.99393,0.14609067,0.38617513,-0.38617513,1.7684132,149.12912,143.82356,71.39485,-0.9194522167190207,-48.59323687364122,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59323687364122,-0.9194522167190207]}"
139,64.03807,-43.285633,107.3237,0.14856108,0.39978278,-0.39978278,1.9614866,142.6203,136.6867,66.71506,-0.9194521862354342,-48.59319197406584,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59319197406584,-0.9194521862354342]}"
140,65.880394,-43.26249,109.14288,0.15134276,0.39822903,-0.39822903,1.9715149,144.2583,139.4065,68.67429,-0.9194521557512803,-48.59314707449195,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59314707449195,-0.9194521557512803]}"
141,58.260796,-38.70895,96.96975,0.12914523,0.37055165,-0.37055165,1.7618531,148.94487,139.65498,72.10432,-0.9194521252665596,-48.59310217491955,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-48.59310217491955,-0.9194521252665596]}"
